,CountryIndeedSymbol,FileIndeedName,n_cols,n_rows,colnames,date_release
0,AU,aggregate_job_postings_AU.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
1,AU,job_postings_by_sector_AU.csv,5,92610,date;jobcountry;indeed_job_postings_index;variable;display_name,09April2025
2,CA,aggregate_job_postings_CA.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
3,CA,job_postings_by_sector_CA.csv,5,98280,date;jobcountry;indeed_job_postings_index;variable;display_name,09April2025
4,CA,metro_job_postings_CA.csv,3,85050,date;Metro;indeed_job_postings_index,09April2025
5,CA,provincial_postings_ca.csv,3,18900,date;province;indeed_job_postings_index,09April2025
6,DE,aggregate_job_postings_DE.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
7,DE,job_postings_by_sector_DE.csv,5,73710,date;jobcountry;indeed_job_postings_index;variable;display_name,09April2025
8,FR,aggregate_job_postings_FR.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
9,FR,job_postings_by_sector_FR.csv,5,68040,date;jobcountry;indeed_job_postings_index;variable;display_name,09April2025
10,GB,aggregate_job_postings_GB.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
11,GB,city_postings_gb.csv,3,117180,date;cities;indeed_job_postings_index,09April2025
12,GB,job_postings_by_sector_GB.csv,5,92610,date;jobcountry;indeed_job_postings_index;variable;display_name,09April2025
13,GB,regional_gb.csv,3,22680,date;region;indeed_job_postings_index,09April2025
14,IE,aggregate_job_postings_IE.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
15,US,aggregate_job_postings_US.csv,5,3780,date;jobcountry;indeed_job_postings_index_SA;indeed_job_postings_index_NSA;variable,09April2025
16,US,job_postings_by_sector_US.csv,5,86940,date;jobcountry;indeed_job_postings_index;variable;display_name,09April2025
17,US,metro_job_postings_us.csv,4,1128330,date;metro;cbsa_code;indeed_job_postings_index,09April2025
18,US,state_job_postings_us.csv,3,96390,date;state;indeed_job_postings_index,09April2025
